Order_ID,Customer_ID,Restaurant_ID,Order_Date,Order_Time,Items,Total_Amount,Status
ORD00026,CUST024,REST021,2023-01-01,20:47:00,Biryani,22.27,Delivered
ORD00027,CUST024,REST003,2023-01-02,04:41:00,Biryani,29.98,Not Delivered
ORD00028,CUST020,REST007,2023-01-02,06:03:00,Sushi,23.53,Delivered
ORD00029,CUST007,REST008,2023-01-02,07:07:00,Pizza,26,Not Delivered
ORD00030,CUST003,REST011,2023-01-02,07:50:00,Salad,63.8,Not Delivered
ORD00031,CUST025,REST019,2023-01-02,11:00:00,Burger,10.27,Not Delivered
ORD00032,CUST015,REST012,2023-01-02,11:18:00,Pasta,53.8,Not Delivered
ORD00033,CUST017,REST020,2023-01-02,12:57:00,Sushi,51.25,Delivered
ORD00034,CUST010,REST016,2023-01-02,13:16:00,Pizza,54.39,Not Delivered
ORD00035,CUST017,REST008,2023-01-02,13:40:00,Biryani,59.08,Delivered
ORD00036,CUST008,REST009,2023-01-02,13:45:00,Salad,6.08,Delivered
ORD00037,CUST003,REST005,2023-01-02,14:15:00,Salad,39.55,Not Delivered
ORD00038,CUST025,REST003,2023-01-02,14:19:00,Pizza,91.29,Delivered
ORD00039,CUST019,REST024,2023-01-02,16:55:00,Sushi,28.43,Not Delivered
ORD00040,CUST012,REST015,2023-01-02,17:04:00,Pasta,78.18,Delivered
ORD00041,CUST014,REST006,2023-01-02,17:39:00,Pizza,30.28,Not Delivered
ORD00042,CUST015,REST011,2023-01-02,20:02:00,Burger,46.8,Delivered
ORD00043,CUST014,REST007,2023-01-02,21:35:00,Tacos,88.68,Not Delivered
ORD00044,CUST005,REST003,2023-01-02,21:51:00,Salad,94.21,Delivered
ORD00045,CUST024,REST013,2023-01-02,21:55:00,Salad,54.89,Not Delivered
ORD00046,CUST003,REST002,2023-01-02,22:17:00,Pasta,19.84,Delivered
ORD00047,CUST024,REST008,2023-01-03,00:04:00,Burger,66.93,Not Delivered
ORD00048,CUST009,REST016,2023-01-03,01:19:00,Noodles,95.55,Delivered
ORD00049,CUST015,REST022,2023-01-03,01:33:00,Burger,41.63,Not Delivered
ORD00050,CUST009,REST014,2023-01-03,02:06:00,Noodles,48.34,Not Delivered
ORD00051,CUST007,REST021,2023-01-03,03:14:00,Noodles,5.58,Not Delivered
ORD00052,CUST015,REST008,2023-01-03,03:36:00,Sushi,80.44,Delivered
ORD00053,CUST011,REST006,2023-01-03,05:15:00,Biryani,35.93,Not Delivered
ORD00054,CUST014,REST020,2023-01-03,06:52:00,Burger,16.6,Not Delivered
ORD00055,CUST022,REST004,2023-01-03,07:17:00,Noodles,19.38,Delivered
ORD00056,CUST009,REST024,2023-01-03,10:40:00,Sushi,41.98,Not Delivered
ORD00057,CUST003,REST014,2023-01-03,11:03:00,Sushi,87.9,Delivered
ORD00058,CUST003,REST007,2023-01-03,13:20:00,Tacos,30.6,Delivered
ORD00059,CUST014,REST013,2023-01-03,14:59:00,Burger,95.01,Not Delivered
ORD00060,CUST012,REST020,2023-01-03,15:07:00,Biryani,55.23,Not Delivered
ORD00061,CUST016,REST010,2023-01-03,15:56:00,Sushi,19.43,Delivered
ORD00062,CUST018,REST008,2023-01-03,18:48:00,Tacos,89.25,Delivered
ORD00063,CUST021,REST024,2023-01-03,18:52:00,Noodles,15.4,Delivered
ORD00064,CUST002,REST013,2023-01-03,20:53:00,Salad,10.77,Delivered
ORD00065,CUST015,REST018,2023-01-03,21:31:00,Noodles,92.61,Delivered
ORD00066,CUST009,REST021,2023-01-03,21:56:00,Biryani,39.5,Delivered
ORD00067,CUST005,REST021,2023-01-04,01:26:00,Noodles,46.03,Delivered
ORD00068,CUST012,REST019,2023-01-04,02:45:00,Sushi,51.62,Not Delivered
ORD00069,CUST004,REST022,2023-01-04,04:14:00,Salad,29.44,Not Delivered
ORD00070,CUST005,REST003,2023-01-04,05:20:00,Biryani,58.81,Not Delivered
ORD00071,CUST021,REST024,2023-01-04,06:20:00,Pizza,91.91,Not Delivered
ORD00072,CUST003,REST003,2023-01-04,06:51:00,Tacos,6.34,Not Delivered
ORD00073,CUST020,REST022,2023-01-04,06:55:00,Sushi,22.58,Not Delivered
ORD00074,CUST018,REST012,2023-01-04,07:03:00,Burger,56.99,Not Delivered
ORD00075,CUST007,REST013,2023-01-04,07:19:00,Salad,84.31,Delivered
ORD00076,CUST021,REST010,2023-01-04,07:28:00,Burger,35.77,Delivered
ORD00077,CUST019,REST006,2023-01-04,07:29:00,Sushi,32.17,Not Delivered
ORD00078,CUST003,REST009,2023-01-04,07:39:00,Salad,67.02,Not Delivered
ORD00079,CUST004,REST008,2023-01-04,07:57:00,Salad,42.66,Delivered
ORD00080,CUST021,REST025,2023-01-04,08:04:00,Salad,47.84,Not Delivered
ORD00081,CUST001,REST019,2023-01-04,08:21:00,Pizza,37.96,Delivered
ORD00082,CUST021,REST004,2023-01-04,09:02:00,Biryani,81.57,Not Delivered
ORD00083,CUST006,REST007,2023-01-04,12:11:00,Biryani,30.81,Not Delivered
ORD00084,CUST009,REST016,2023-01-04,13:58:00,Tacos,64.66,Not Delivered
ORD00085,CUST001,REST008,2023-01-04,15:05:00,Sushi,78.16,Delivered
ORD00086,CUST008,REST004,2023-01-04,15:13:00,Pasta,30.61,Delivered
ORD00087,CUST016,REST014,2023-01-04,15:17:00,Pizza,47.18,Delivered
ORD00088,CUST024,REST013,2023-01-04,16:00:00,Burger,49.81,Delivered
ORD00089,CUST010,REST008,2023-01-04,19:30:00,Pizza,80.65,Not Delivered
ORD00090,CUST022,REST016,2023-01-04,21:20:00,Burger,75,Not Delivered
ORD00091,CUST023,REST014,2023-01-04,21:22:00,Salad,87.91,Not Delivered
ORD00092,CUST022,REST013,2023-01-04,22:49:00,Biryani,26.78,Delivered
ORD00093,CUST023,REST010,2023-01-04,23:24:00,Burger,14.7,Delivered
ORD00094,CUST006,REST009,2023-01-04,23:36:00,Pasta,99.52,Delivered
ORD00095,CUST008,REST007,2023-01-04,23:46:00,Pizza,27.22,Delivered
ORD00096,CUST001,REST008,2023-01-04,23:47:00,Salad,62.43,Delivered
ORD00097,CUST009,REST015,2023-01-05,00:01:00,Sushi,66.41,Delivered
ORD00098,CUST009,REST004,2023-01-05,00:18:00,Tacos,59.33,Delivered
ORD00099,CUST003,REST020,2023-01-05,00:44:00,Tacos,77.12,Not Delivered
ORD00100,CUST008,REST001,2023-01-05,04:36:00,Tacos,29.37,Not Delivered
ORD00101,CUST002,REST007,2023-01-05,05:10:00,Pasta,29.87,Delivered
ORD00102,CUST004,REST006,2023-01-05,05:14:00,Pasta,63.61,Delivered
ORD00103,CUST018,REST005,2023-01-05,05:51:00,Salad,87.1,Not Delivered
ORD00104,CUST017,REST015,2023-01-05,06:04:00,Pasta,7.64,Delivered
ORD00105,CUST016,REST010,2023-01-05,06:18:00,Salad,41.97,Delivered
ORD00106,CUST012,REST004,2023-01-05,07:54:00,Sushi,93.1,Delivered
ORD00107,CUST013,REST015,2023-01-05,08:36:00,Salad,47.13,Delivered
ORD00108,CUST005,REST012,2023-01-05,10:22:00,Pizza,68.96,Delivered
ORD00109,CUST017,REST012,2023-01-05,11:30:00,Pasta,53.61,Not Delivered
ORD00110,CUST002,REST014,2023-01-05,11:47:00,Burger,37.99,Delivered
ORD00111,CUST002,REST025,2023-01-05,13:06:00,Biryani,21.83,Delivered
ORD00112,CUST019,REST022,2023-01-05,13:25:00,Sushi,57.32,Not Delivered
ORD00113,CUST012,REST009,2023-01-05,14:10:00,Salad,37.42,Delivered
ORD00114,CUST005,REST002,2023-01-05,14:41:00,Biryani,13.34,Not Delivered
ORD00115,CUST024,REST005,2023-01-05,14:59:00,Tacos,16.2,Not Delivered
ORD00116,CUST011,REST014,2023-01-05,15:24:00,Sushi,72.38,Not Delivered
ORD00117,CUST012,REST016,2023-01-05,18:00:00,Noodles,32.58,Not Delivered
ORD00118,CUST001,REST005,2023-01-05,18:26:00,Pizza,98.61,Not Delivered
ORD00119,CUST009,REST020,2023-01-05,19:06:00,Noodles,28.85,Not Delivered
ORD00120,CUST017,REST021,2023-01-05,21:50:00,Pizza,54.03,Not Delivered
ORD00121,CUST010,REST006,2023-01-05,22:11:00,Noodles,62.65,Not Delivered
ORD00122,CUST012,REST025,2023-01-05,22:13:00,Noodles,42.29,Not Delivered
ORD00123,CUST018,REST019,2023-01-05,23:22:00,Pasta,35.66,Not Delivered
ORD00124,CUST008,REST019,2023-01-05,23:22:00,Noodles,65.91,Delivered
ORD00125,CUST010,REST006,2023-01-06,02:27:00,Noodles,25.38,Delivered
ORD00126,CUST021,REST014,2023-01-06,03:17:00,Burger,82.43,Delivered
ORD00127,CUST015,REST008,2023-01-06,03:29:00,Sushi,37.67,Delivered
ORD00128,CUST011,REST006,2023-01-06,03:30:00,Pizza,10.97,Not Delivered
ORD00129,CUST024,REST018,2023-01-06,04:11:00,Biryani,75.94,Not Delivered
ORD00130,CUST006,REST001,2023-01-06,05:00:00,Tacos,44.31,Not Delivered
ORD00131,CUST014,REST012,2023-01-06,07:32:00,Salad,20.77,Not Delivered
ORD00132,CUST025,REST001,2023-01-06,08:28:00,Burger,70.67,Not Delivered
ORD00133,CUST022,REST018,2023-01-06,08:32:00,Tacos,11.34,Not Delivered
ORD00134,CUST003,REST015,2023-01-06,10:19:00,Tacos,43.03,Delivered
ORD00135,CUST016,REST025,2023-01-06,10:33:00,Salad,24.3,Not Delivered
ORD00136,CUST019,REST020,2023-01-06,10:36:00,Tacos,81.93,Delivered
ORD00137,CUST007,REST006,2023-01-06,12:21:00,Burger,63.95,Delivered
ORD00138,CUST024,REST020,2023-01-06,15:12:00,Burger,14.14,Not Delivered
ORD00139,CUST025,REST024,2023-01-06,15:20:00,Pizza,95.28,Not Delivered
ORD00140,CUST022,REST014,2023-01-06,15:50:00,Pizza,40.34,Delivered
ORD00141,CUST025,REST018,2023-01-06,16:50:00,Tacos,10.61,Delivered
ORD00142,CUST025,REST024,2023-01-06,16:58:00,Biryani,10.86,Not Delivered
ORD00143,CUST014,REST003,2023-01-06,17:37:00,Salad,25.1,Delivered
ORD00144,CUST023,REST014,2023-01-06,18:27:00,Biryani,17.22,Delivered
ORD00145,CUST024,REST019,2023-01-06,20:12:00,Tacos,18.7,Not Delivered
ORD00146,CUST007,REST020,2023-01-06,20:15:00,Biryani,95.85,Delivered
ORD00147,CUST013,REST021,2023-01-06,21:41:00,Burger,33.84,Not Delivered
ORD00148,CUST013,REST025,2023-01-06,21:55:00,Noodles,5.43,Not Delivered
ORD00149,CUST022,REST014,2023-01-06,22:37:00,Salad,28.42,Delivered
ORD00150,CUST024,REST008,2023-01-06,23:27:00,Noodles,7.36,Not Delivered
ORD00151,CUST024,REST021,2023-01-07,00:14:00,Biryani,32.27,Delivered
ORD00152,CUST008,REST007,2023-01-07,00:57:00,Salad,88.57,Not Delivered
ORD00153,CUST008,REST008,2023-01-07,02:12:00,Biryani,11.89,Delivered
ORD00154,CUST007,REST016,2023-01-07,03:52:00,Burger,67.08,Not Delivered
ORD00155,CUST017,REST023,2023-01-07,04:38:00,Salad,8.23,Not Delivered
ORD00156,CUST010,REST024,2023-01-07,05:02:00,Sushi,50.84,Not Delivered
ORD00157,CUST003,REST016,2023-01-07,05:12:00,Pasta,83.4,Not Delivered
ORD00158,CUST004,REST009,2023-01-07,06:53:00,Noodles,10.34,Not Delivered
ORD00159,CUST019,REST015,2023-01-07,08:00:00,Biryani,34.82,Not Delivered
ORD00160,CUST007,REST005,2023-01-07,08:02:00,Biryani,55.64,Delivered
ORD00161,CUST010,REST006,2023-01-07,08:41:00,Biryani,12.12,Not Delivered
ORD00162,CUST004,REST015,2023-01-07,09:00:00,Sushi,8.51,Delivered
ORD00163,CUST017,REST024,2023-01-07,09:48:00,Noodles,92.16,Not Delivered
ORD00164,CUST011,REST017,2023-01-07,10:15:00,Burger,67.26,Delivered
ORD00165,CUST015,REST006,2023-01-07,10:45:00,Burger,13.52,Not Delivered
ORD00166,CUST011,REST019,2023-01-07,10:57:00,Noodles,87.21,Not Delivered
ORD00167,CUST018,REST004,2023-01-07,12:16:00,Pizza,54.4,Not Delivered
ORD00168,CUST001,REST001,2023-01-07,12:26:00,Burger,95.6,Not Delivered
ORD00169,CUST022,REST011,2023-01-07,14:05:00,Pasta,24.5,Not Delivered
ORD00170,CUST020,REST020,2023-01-07,16:07:00,Pasta,85.35,Not Delivered
ORD00171,CUST019,REST005,2023-01-07,16:17:00,Burger,25.98,Not Delivered
ORD00172,CUST025,REST017,2023-01-07,18:20:00,Tacos,25.42,Not Delivered
ORD00173,CUST006,REST009,2023-01-07,19:30:00,Biryani,94.27,Not Delivered
ORD00174,CUST015,REST003,2023-01-07,20:12:00,Tacos,25.35,Delivered
ORD00175,CUST009,REST004,2023-01-07,21:00:00,Sushi,88.79,Delivered
ORD00176,CUST012,REST012,2023-01-07,21:43:00,Sushi,89.99,Not Delivered
ORD00177,CUST022,REST023,2023-01-07,22:40:00,Biryani,64.53,Delivered
ORD00178,CUST020,REST004,2023-01-07,23:05:00,Tacos,84.45,Delivered
ORD00179,CUST025,REST001,2023-01-07,23:20:00,Pizza,96.03,Delivered
ORD00180,CUST002,REST021,2023-01-08,00:02:00,Pizza,79.61,Not Delivered
ORD00181,CUST025,REST015,2023-01-08,00:50:00,Noodles,72.61,Delivered
ORD00182,CUST009,REST022,2023-01-08,01:43:00,Biryani,62.84,Delivered
ORD00183,CUST025,REST022,2023-01-08,01:46:00,Sushi,64.22,Not Delivered
ORD00184,CUST004,REST008,2023-01-08,02:45:00,Salad,79.36,Delivered
ORD00185,CUST015,REST008,2023-01-08,03:00:00,Noodles,96.58,Not Delivered
ORD00186,CUST012,REST013,2023-01-08,04:48:00,Noodles,17.23,Not Delivered
ORD00187,CUST015,REST009,2023-01-08,06:04:00,Biryani,63.78,Delivered
ORD00188,CUST005,REST002,2023-01-08,06:54:00,Biryani,16.57,Delivered
ORD00189,CUST020,REST010,2023-01-08,07:37:00,Pizza,10.53,Delivered
ORD00190,CUST024,REST020,2023-01-08,10:51:00,Burger,40.64,Delivered
ORD00191,CUST014,REST014,2023-01-08,11:54:00,Salad,32.97,Not Delivered
ORD00192,CUST024,REST004,2023-01-08,12:30:00,Burger,99.43,Delivered
ORD00193,CUST016,REST023,2023-01-08,13:40:00,Tacos,6.56,Delivered
ORD00194,CUST023,REST005,2023-01-08,14:45:00,Sushi,96.76,Not Delivered
ORD00195,CUST018,REST018,2023-01-08,15:54:00,Pizza,12.28,Not Delivered
ORD00196,CUST019,REST008,2023-01-08,15:59:00,Noodles,67.5,Delivered
ORD00197,CUST007,REST012,2023-01-08,16:25:00,Tacos,71.02,Not Delivered
ORD00198,CUST002,REST002,2023-01-08,16:59:00,Biryani,67.32,Delivered
ORD00199,CUST002,REST018,2023-01-08,17:22:00,Pasta,97.14,Delivered
ORD00200,CUST019,REST009,2023-01-08,17:24:00,Pasta,25.29,Not Delivered
ORD00201,CUST005,REST011,2023-01-08,18:24:00,Pizza,68.75,Not Delivered
ORD00202,CUST023,REST007,2023-01-08,18:29:00,Pizza,69.93,Not Delivered
ORD00203,CUST004,REST011,2023-01-08,19:20:00,Salad,40.87,Delivered
ORD00204,CUST010,REST007,2023-01-08,19:23:00,Noodles,69.58,Delivered
ORD00205,CUST008,REST017,2023-01-08,22:08:00,Tacos,51.28,Not Delivered
ORD00206,CUST008,REST005,2023-01-09,00:26:00,Tacos,96.88,Not Delivered
ORD00207,CUST015,REST006,2023-01-09,00:56:00,Sushi,17.57,Not Delivered
ORD00208,CUST010,REST007,2023-01-09,01:13:00,Burger,56.45,Delivered
ORD00209,CUST006,REST014,2023-01-09,01:28:00,Biryani,79.54,Not Delivered
ORD00210,CUST007,REST001,2023-01-09,02:45:00,Pizza,96.95,Not Delivered
ORD00211,CUST020,REST022,2023-01-09,03:00:00,Salad,84.66,Delivered
ORD00212,CUST025,REST001,2023-01-09,03:10:00,Pizza,30.55,Delivered
ORD00213,CUST022,REST017,2023-01-09,03:22:00,Tacos,99.34,Not Delivered
ORD00214,CUST003,REST006,2023-01-09,04:28:00,Salad,70.49,Not Delivered
ORD00215,CUST022,REST007,2023-01-09,05:10:00,Biryani,82.12,Not Delivered
ORD00216,CUST013,REST015,2023-01-09,08:03:00,Tacos,10.87,Delivered
ORD00217,CUST010,REST006,2023-01-09,11:23:00,Salad,13.3,Not Delivered
ORD00218,CUST022,REST010,2023-01-09,14:35:00,Salad,31.7,Not Delivered
ORD00219,CUST001,REST006,2023-01-09,15:16:00,Pizza,83.46,Delivered
ORD00220,CUST020,REST015,2023-01-09,15:18:00,Pasta,81.43,Delivered
ORD00221,CUST014,REST022,2023-01-09,15:27:00,Tacos,58.83,Not Delivered
ORD00222,CUST013,REST018,2023-01-09,15:40:00,Salad,7.96,Not Delivered
ORD00223,CUST003,REST024,2023-01-09,15:56:00,Sushi,24.89,Not Delivered
ORD00224,CUST019,REST012,2023-01-09,16:46:00,Pizza,74.8,Not Delivered
ORD00225,CUST018,REST008,2023-01-09,17:28:00,Pizza,43.45,Delivered
ORD00226,CUST004,REST005,2023-01-09,18:15:00,Sushi,46.78,Not Delivered
ORD00227,CUST012,REST019,2023-01-09,20:06:00,Pasta,27.3,Not Delivered
ORD00228,CUST022,REST006,2023-01-09,21:03:00,Noodles,74.8,Delivered
ORD00229,CUST022,REST015,2023-01-09,22:47:00,Pasta,46.26,Delivered
ORD00230,CUST014,REST007,2023-01-10,01:56:00,Sushi,95.24,Not Delivered
ORD00231,CUST024,REST020,2023-01-10,02:34:00,Pizza,68.56,Delivered
ORD00232,CUST007,REST017,2023-01-10,03:17:00,Biryani,43.48,Not Delivered
ORD00233,CUST019,REST001,2023-01-10,03:33:00,Burger,41.66,Not Delivered
ORD00234,CUST013,REST016,2023-01-10,04:39:00,Noodles,7.59,Not Delivered
ORD00235,CUST021,REST020,2023-01-10,06:35:00,Pasta,83,Delivered
ORD00236,CUST006,REST003,2023-01-10,08:30:00,Biryani,95,Delivered
ORD00237,CUST006,REST021,2023-01-10,09:29:00,Salad,9.04,Delivered
ORD00238,CUST018,REST018,2023-01-10,10:28:00,Pasta,19.04,Delivered
ORD00239,CUST002,REST023,2023-01-10,11:15:00,Salad,12.51,Not Delivered
ORD00240,CUST019,REST014,2023-01-10,11:24:00,Pizza,50.14,Not Delivered
ORD00241,CUST024,REST015,2023-01-10,11:59:00,Pizza,34.84,Not Delivered
ORD00242,CUST017,REST004,2023-01-10,12:54:00,Tacos,98.3,Not Delivered
ORD00243,CUST025,REST015,2023-01-10,12:54:00,Biryani,88.82,Delivered
ORD00244,CUST017,REST001,2023-01-10,13:15:00,Tacos,99.13,Not Delivered
ORD00245,CUST006,REST018,2023-01-10,13:20:00,Sushi,78.29,Not Delivered
ORD00246,CUST010,REST024,2023-01-10,13:23:00,Noodles,27.95,Not Delivered
ORD00247,CUST005,REST018,2023-01-10,13:40:00,Tacos,93.1,Not Delivered
ORD00248,CUST021,REST004,2023-01-10,14:31:00,Pizza,12.84,Delivered
ORD00249,CUST019,REST021,2023-01-10,15:18:00,Sushi,87.69,Delivered
ORD00250,CUST019,REST002,2023-01-10,16:17:00,Pizza,11.19,Not Delivered
ORD00251,CUST009,REST005,2023-01-10,17:00:00,Burger,47.06,Delivered
ORD00252,CUST011,REST015,2023-01-10,19:07:00,Pasta,75.4,Not Delivered
ORD00253,CUST005,REST015,2023-01-10,19:38:00,Noodles,78.92,Delivered
ORD00254,CUST021,REST023,2023-01-10,19:46:00,Pasta,93.31,Not Delivered
ORD00255,CUST011,REST012,2023-01-10,20:48:00,Pasta,13.9,Not Delivered
ORD00256,CUST011,REST004,2023-01-10,22:28:00,Biryani,5.01,Delivered
ORD00257,CUST019,REST019,2023-01-11,00:42:00,Noodles,46.99,Not Delivered
ORD00258,CUST022,REST010,2023-01-11,00:45:00,Biryani,91.79,Not Delivered
ORD00259,CUST007,REST023,2023-01-11,01:19:00,Noodles,12.53,Delivered
ORD00260,CUST017,REST001,2023-01-11,01:31:00,Tacos,70.75,Not Delivered
ORD00261,CUST025,REST012,2023-01-11,02:21:00,Burger,49.63,Not Delivered
ORD00262,CUST016,REST022,2023-01-11,02:39:00,Burger,20.54,Not Delivered
ORD00263,CUST008,REST003,2023-01-11,02:57:00,Salad,88.17,Not Delivered
ORD00264,CUST007,REST018,2023-01-11,02:57:00,Noodles,66.31,Not Delivered
ORD00265,CUST003,REST018,2023-01-11,03:34:00,Tacos,69.35,Delivered
ORD00266,CUST019,REST015,2023-01-11,04:11:00,Noodles,88.5,Delivered
ORD00267,CUST013,REST007,2023-01-11,05:05:00,Biryani,67.34,Delivered
ORD00268,CUST001,REST005,2023-01-11,05:37:00,Biryani,71.5,Delivered
ORD00269,CUST011,REST009,2023-01-11,06:19:00,Salad,29.17,Not Delivered
ORD00270,CUST006,REST020,2023-01-11,06:19:00,Biryani,25.99,Delivered
ORD00271,CUST025,REST021,2023-01-11,06:47:00,Burger,18.4,Delivered
ORD00272,CUST004,REST025,2023-01-11,07:25:00,Salad,78.3,Not Delivered
ORD00273,CUST004,REST001,2023-01-11,08:30:00,Tacos,79.82,Delivered
ORD00274,CUST007,REST013,2023-01-11,08:41:00,Pasta,40.9,Delivered
ORD00275,CUST015,REST011,2023-01-11,09:57:00,Sushi,9.24,Not Delivered
ORD00276,CUST017,REST019,2023-01-11,10:17:00,Pizza,80.25,Not Delivered
ORD00277,CUST009,REST021,2023-01-11,10:18:00,Tacos,11.95,Not Delivered
ORD00278,CUST017,REST008,2023-01-11,10:31:00,Burger,35.64,Not Delivered
ORD00279,CUST018,REST011,2023-01-11,11:48:00,Noodles,18.1,Not Delivered
ORD00280,CUST016,REST012,2023-01-11,11:55:00,Biryani,52.5,Not Delivered
ORD00281,CUST017,REST006,2023-01-11,13:03:00,Biryani,58.74,Not Delivered
ORD00282,CUST005,REST017,2023-01-11,14:19:00,Noodles,56.39,Delivered
ORD00283,CUST019,REST007,2023-01-11,16:43:00,Pasta,31.15,Not Delivered
ORD00284,CUST025,REST011,2023-01-11,17:23:00,Biryani,23.68,Delivered
ORD00285,CUST003,REST014,2023-01-11,19:12:00,Biryani,21.53,Not Delivered
ORD00286,CUST008,REST004,2023-01-11,19:16:00,Burger,55.16,Not Delivered
ORD00287,CUST023,REST011,2023-01-11,21:09:00,Salad,46.91,Not Delivered
ORD00288,CUST006,REST009,2023-01-11,21:51:00,Noodles,51.01,Not Delivered
ORD00289,CUST017,REST017,2023-01-12,02:33:00,Sushi,46.81,Delivered
ORD00290,CUST025,REST019,2023-01-12,03:25:00,Burger,28.85,Delivered
ORD00291,CUST011,REST009,2023-01-12,03:59:00,Pasta,53.19,Delivered
ORD00292,CUST014,REST019,2023-01-12,04:04:00,Tacos,94.38,Not Delivered
ORD00293,CUST010,REST019,2023-01-12,04:37:00,Noodles,94.77,Delivered
ORD00294,CUST002,REST004,2023-01-12,06:09:00,Biryani,71.32,Not Delivered
ORD00295,CUST007,REST004,2023-01-12,06:28:00,Salad,24.08,Not Delivered
ORD00296,CUST004,REST025,2023-01-12,06:48:00,Pizza,60.67,Not Delivered
ORD00297,CUST001,REST020,2023-01-12,08:01:00,Pasta,26.66,Not Delivered
ORD00298,CUST001,REST007,2023-01-12,08:14:00,Biryani,84.84,Not Delivered
ORD00299,CUST002,REST002,2023-01-12,08:54:00,Salad,40.62,Delivered
ORD00300,CUST006,REST020,2023-01-12,09:11:00,Noodles,83.99,Delivered
ORD00301,CUST001,REST011,2023-01-12,10:58:00,Pasta,8.19,Not Delivered
ORD00302,CUST019,REST006,2023-01-12,11:09:00,Sushi,8.99,Delivered
ORD00303,CUST013,REST015,2023-01-12,14:28:00,Noodles,51.4,Delivered
ORD00304,CUST013,REST015,2023-01-12,14:41:00,Sushi,91.68,Delivered
ORD00305,CUST007,REST024,2023-01-12,14:42:00,Tacos,62.88,Delivered
ORD00306,CUST010,REST024,2023-01-12,15:40:00,Pasta,59.62,Delivered
ORD00307,CUST016,REST016,2023-01-12,16:02:00,Pizza,77.74,Delivered
ORD00308,CUST004,REST016,2023-01-12,17:11:00,Tacos,27.43,Not Delivered
ORD00309,CUST014,REST002,2023-01-12,17:13:00,Sushi,99.61,Not Delivered
ORD00310,CUST003,REST008,2023-01-12,18:10:00,Noodles,80.07,Not Delivered
ORD00311,CUST017,REST015,2023-01-12,18:14:00,Tacos,22.87,Delivered
ORD00312,CUST017,REST022,2023-01-12,18:15:00,Burger,19.1,Delivered
ORD00313,CUST022,REST023,2023-01-12,18:16:00,Noodles,88.83,Not Delivered
ORD00314,CUST008,REST002,2023-01-12,18:31:00,Tacos,13.47,Delivered
ORD00315,CUST012,REST023,2023-01-12,18:41:00,Biryani,30.44,Delivered
ORD00316,CUST013,REST015,2023-01-12,18:51:00,Sushi,72.31,Not Delivered
ORD00317,CUST022,REST021,2023-01-12,19:18:00,Tacos,68.62,Not Delivered
ORD00318,CUST005,REST006,2023-01-12,20:20:00,Pasta,90.84,Delivered
ORD00319,CUST015,REST024,2023-01-12,20:40:00,Biryani,28.56,Delivered
ORD00320,CUST008,REST004,2023-01-12,20:53:00,Burger,69.69,Not Delivered
ORD00321,CUST012,REST005,2023-01-12,21:48:00,Salad,90.29,Delivered
ORD00322,CUST014,REST008,2023-01-12,22:45:00,Burger,38.74,Not Delivered
ORD00323,CUST013,REST002,2023-01-13,00:10:00,Biryani,29.61,Not Delivered
ORD00324,CUST006,REST012,2023-01-13,00:14:00,Pasta,86.5,Delivered
