Delivery_ID,Order_ID,Rider_ID,Pickup_Time,Delivery_Time,Distance_km,Tip
DEL00064,ORD00274,RID010,2023-01-11 08:59:00,2023-01-11 09:29:00,12.24,9.17
DEL00065,ORD00282,RID024,2023-01-11 14:40:00,2023-01-11 15:00:00,5.84,6.75
DEL00066,ORD00284,RID006,2023-01-11 17:38:00,2023-01-11 18:17:00,1.26,8.54
DEL00067,ORD00289,RID015,2023-01-12 02:54:00,2023-01-12 03:16:00,7.77,10.15
DEL00068,ORD00291,RID015,2023-01-12 04:23:00,2023-01-12 04:57:00,7.76,1.52
DEL00069,ORD00299,RID019,2023-01-12 09:16:00,2023-01-12 09:33:00,4.92,10.31
DEL00070,ORD00300,RID010,2023-01-12 09:37:00,2023-01-12 10:21:00,15.46,9.87
DEL00071,ORD00303,RID020,2023-01-12 14:50:00,2023-01-12 15:12:00,14.19,12.96
DEL00072,ORD00305,RID020,2023-01-12 14:54:00,2023-01-12 15:23:00,12.59,4.19
DEL00073,ORD00304,RID009,2023-01-12 15:10:00,2023-01-12 15:37:00,6.24,11.06
DEL00074,ORD00306,RID006,2023-01-12 16:00:00,2023-01-12 16:20:00,8.54,0.32
DEL00075,ORD00315,RID005,2023-01-12 18:53:00,2023-01-12 19:12:00,18.62,11.75
DEL00076,ORD00314,RID008,2023-01-12 18:58:00,2023-01-12 19:23:00,3.12,13.87
DEL00077,ORD00318,RID024,2023-01-12 20:35:00,2023-01-12 21:16:00,2.92,8.79
DEL00078,ORD00321,RID025,2023-01-12 22:03:00,2023-01-12 22:30:00,13.23,14.27
DEL00079,ORD00324,RID005,2023-01-13 00:44:00,2023-01-13 01:25:00,11.21,12.31
DEL00080,ORD00325,RID006,2023-01-13 01:52:00,2023-01-13 02:34:00,4.96,12.39
DEL00081,ORD00330,RID017,2023-01-13 04:56:00,2023-01-13 05:26:00,9.12,13.3
DEL00082,ORD00331,RID013,2023-01-13 08:50:00,2023-01-13 09:32:00,10.4,9.04
DEL00083,ORD00333,RID007,2023-01-13 11:42:00,2023-01-13 12:24:00,12.33,2.18
DEL00084,ORD00339,RID015,2023-01-13 18:43:00,2023-01-13 19:27:00,15.2,9.3
DEL00085,ORD00343,RID005,2023-01-13 19:31:00,2023-01-13 19:53:00,3.08,4.91
DEL00086,ORD00344,RID016,2023-01-13 20:02:00,2023-01-13 20:43:00,3.28,14.39
DEL00087,ORD00347,RID014,2023-01-14 00:03:00,2023-01-14 00:37:00,5.76,7.66
DEL00088,ORD00350,RID025,2023-01-14 00:29:00,2023-01-14 00:44:00,7.1,12.43
DEL00089,ORD00355,RID020,2023-01-14 03:22:00,2023-01-14 04:03:00,6.87,6.47
DEL00090,ORD00358,RID011,2023-01-14 04:25:00,2023-01-14 05:02:00,12.71,14.85
DEL00091,ORD00361,RID007,2023-01-14 06:30:00,2023-01-14 07:07:00,13.6,10.43
DEL00092,ORD00364,RID010,2023-01-14 07:23:00,2023-01-14 07:40:00,15.42,2.39
DEL00093,ORD00365,RID015,2023-01-14 07:43:00,2023-01-14 08:24:00,14.24,2.5
DEL00094,ORD00366,RID010,2023-01-14 08:39:00,2023-01-14 09:03:00,8.62,2.53
DEL00095,ORD00369,RID025,2023-01-14 11:13:00,2023-01-14 11:36:00,1.17,4.55
DEL00096,ORD00372,RID002,2023-01-14 14:38:00,2023-01-14 15:10:00,9.6,1.76
DEL00097,ORD00378,RID012,2023-01-14 16:40:00,2023-01-14 17:13:00,7.88,1.44
DEL00098,ORD00380,RID012,2023-01-14 17:43:00,2023-01-14 18:00:00,14.33,9.24
DEL00099,ORD00381,RID019,2023-01-14 18:39:00,2023-01-14 19:16:00,10.25,0.76
DEL00100,ORD00384,RID018,2023-01-14 23:33:00,2023-01-15 00:09:00,13.57,0.88
DEL00101,ORD00394,RID005,2023-01-15 03:49:00,2023-01-15 04:14:00,10.44,8.07
DEL00102,ORD00391,RID010,2023-01-15 03:35:00,2023-01-15 04:18:00,14.6,14.91
DEL00103,ORD00398,RID002,2023-01-15 06:06:00,2023-01-15 06:29:00,6.93,6.67
DEL00104,ORD00400,RID004,2023-01-15 06:28:00,2023-01-15 06:54:00,18.72,8.56
DEL00105,ORD00406,RID018,2023-01-15 09:48:00,2023-01-15 10:19:00,14.87,3.89
DEL00106,ORD00409,RID005,2023-01-15 11:03:00,2023-01-15 11:35:00,7.89,7.09
DEL00107,ORD00410,RID009,2023-01-15 12:08:00,2023-01-15 12:42:00,16.52,5.8
DEL00108,ORD00411,RID012,2023-01-15 12:34:00,2023-01-15 13:05:00,19.95,9.03
DEL00109,ORD00415,RID023,2023-01-15 15:19:00,2023-01-15 15:34:00,11.26,14.28
DEL00110,ORD00427,RID010,2023-01-16 00:18:00,2023-01-16 00:41:00,6.71,12.45
DEL00111,ORD00430,RID003,2023-01-16 03:20:00,2023-01-16 03:53:00,13.04,1.86
DEL00112,ORD00431,RID008,2023-01-16 05:14:00,2023-01-16 05:31:00,6.81,1.67
DEL00113,ORD00435,RID024,2023-01-16 08:08:00,2023-01-16 08:23:00,12.27,8.9
DEL00114,ORD00434,RID004,2023-01-16 08:19:00,2023-01-16 08:47:00,7.9,2.78
DEL00115,ORD00436,RID018,2023-01-16 09:22:00,2023-01-16 09:37:00,2.87,0.34
DEL00116,ORD00449,RID010,2023-01-16 19:22:00,2023-01-16 19:41:00,6.2,13.68
DEL00117,ORD00460,RID009,2023-01-17 02:49:00,2023-01-17 03:22:00,15.52,11.95
DEL00118,ORD00461,RID018,2023-01-17 03:10:00,2023-01-17 03:41:00,1.56,12.87
DEL00119,ORD00467,RID014,2023-01-17 08:14:00,2023-01-17 08:30:00,12.54,9.69
DEL00120,ORD00466,RID008,2023-01-17 08:25:00,2023-01-17 08:48:00,6.02,6.3
DEL00121,ORD00484,RID016,2023-01-18 02:24:00,2023-01-18 03:00:00,7.62,9.19
DEL00122,ORD00490,RID010,2023-01-18 04:14:00,2023-01-18 04:55:00,3.55,7.23
DEL00123,ORD00498,RID020,2023-01-18 11:34:00,2023-01-18 11:56:00,19.71,13.58
DEL00124,ORD00504,RID021,2023-01-18 16:54:00,2023-01-18 17:09:00,5.2,7.84
DEL00125,ORD00506,RID009,2023-01-18 18:51:00,2023-01-18 19:12:00,7.39,9.49
DEL00126,ORD00509,RID004,2023-01-18 21:00:00,2023-01-18 21:40:00,13.3,12.84
DEL00127,ORD00520,RID023,2023-01-19 11:57:00,2023-01-19 12:35:00,9.94,12.73
DEL00128,ORD00525,RID004,2023-01-19 15:19:00,2023-01-19 15:55:00,15.64,11.55
DEL00129,ORD00526,RID016,2023-01-19 15:40:00,2023-01-19 16:06:00,12.34,7.71
DEL00130,ORD00528,RID010,2023-01-19 17:44:00,2023-01-19 18:29:00,9.44,8.33
DEL00131,ORD00531,RID012,2023-01-19 18:46:00,2023-01-19 19:15:00,5.39,11.17
DEL00132,ORD00534,RID013,2023-01-19 20:13:00,2023-01-19 20:47:00,6.42,9.93
DEL00133,ORD00536,RID002,2023-01-19 20:30:00,2023-01-19 20:52:00,11.84,2.56
DEL00134,ORD00537,RID001,2023-01-19 20:58:00,2023-01-19 21:18:00,12.28,1.64
DEL00135,ORD00545,RID020,2023-01-20 04:37:00,2023-01-20 05:06:00,16.3,0.38
DEL00136,ORD00550,RID001,2023-01-20 07:42:00,2023-01-20 08:09:00,13.61,13.92
DEL00137,ORD00549,RID010,2023-01-20 07:47:00,2023-01-20 08:30:00,11.51,3.96
DEL00138,ORD00561,RID014,2023-01-20 14:04:00,2023-01-20 14:25:00,16.97,9.45
DEL00139,ORD00562,RID004,2023-01-20 14:08:00,2023-01-20 14:30:00,3.91,7.25
DEL00140,ORD00566,RID007,2023-01-20 21:11:00,2023-01-20 21:37:00,8.09,14.56
DEL00141,ORD00571,RID013,2023-01-21 00:32:00,2023-01-21 00:54:00,12.84,11.28
DEL00142,ORD00572,RID024,2023-01-21 01:36:00,2023-01-21 01:58:00,14.56,13.75
DEL00143,ORD00574,RID024,2023-01-21 02:33:00,2023-01-21 03:06:00,13.84,3.56
DEL00144,ORD00578,RID009,2023-01-21 06:07:00,2023-01-21 06:31:00,1.77,10.95
DEL00145,ORD00580,RID011,2023-01-21 08:15:00,2023-01-21 08:43:00,5.05,7.78
DEL00146,ORD00588,RID007,2023-01-21 12:46:00,2023-01-21 13:24:00,9.66,2.23
DEL00147,ORD00587,RID020,2023-01-21 12:45:00,2023-01-21 13:27:00,18.06,1.2
DEL00148,ORD00590,RID003,2023-01-21 14:06:00,2023-01-21 14:48:00,13.75,1.43
DEL00149,ORD00595,RID012,2023-01-21 18:09:00,2023-01-21 18:50:00,10.9,4.01
DEL00150,ORD00596,RID019,2023-01-21 20:27:00,2023-01-21 20:57:00,6.48,4.05
DEL00151,ORD00600,RID006,2023-01-21 21:12:00,2023-01-21 21:40:00,11.99,5.66
DEL00152,ORD00609,RID006,2023-01-22 05:00:00,2023-01-22 05:25:00,2.13,2.81
DEL00153,ORD00615,RID009,2023-01-22 08:00:00,2023-01-22 08:35:00,12.27,10.92
DEL00154,ORD00617,RID011,2023-01-22 08:35:00,2023-01-22 09:12:00,7.69,1.13
DEL00155,ORD00620,RID008,2023-01-22 10:34:00,2023-01-22 10:59:00,3.98,5.95
DEL00156,ORD00621,RID006,2023-01-22 11:30:00,2023-01-22 12:15:00,5.3,12.52
DEL00157,ORD00622,RID003,2023-01-22 13:25:00,2023-01-22 14:06:00,11.08,1.35
DEL00158,ORD00627,RID005,2023-01-22 17:42:00,2023-01-22 18:12:00,3.07,11.58
DEL00159,ORD00630,RID019,2023-01-22 20:10:00,2023-01-22 20:40:00,2.28,3.48
DEL00160,ORD00631,RID002,2023-01-22 20:36:00,2023-01-22 21:14:00,13.55,12.57
DEL00161,ORD00637,RID007,2023-01-23 01:28:00,2023-01-23 02:07:00,7.09,9.85
DEL00162,ORD00640,RID025,2023-01-23 03:10:00,2023-01-23 03:42:00,10.53,1.81
DEL00163,ORD00650,RID006,2023-01-23 14:19:00,2023-01-23 14:56:00,12.89,14.81
DEL00164,ORD00651,RID020,2023-01-23 16:16:00,2023-01-23 16:44:00,12.59,9.14
DEL00165,ORD00653,RID002,2023-01-23 17:02:00,2023-01-23 17:35:00,4.18,9.12
DEL00166,ORD00656,RID020,2023-01-23 18:24:00,2023-01-23 18:51:00,1.14,10.48
DEL00167,ORD00664,RID020,2023-01-23 22:19:00,2023-01-23 22:53:00,4.2,13.01
DEL00168,ORD00665,RID008,2023-01-23 22:24:00,2023-01-23 23:02:00,11.1,13.74
DEL00169,ORD00669,RID003,2023-01-24 04:48:00,2023-01-24 05:09:00,13.35,0.59
DEL00170,ORD00674,RID013,2023-01-24 08:17:00,2023-01-24 08:48:00,6.44,8.6
DEL00171,ORD00676,RID003,2023-01-24 09:06:00,2023-01-24 09:34:00,4.94,10.14
DEL00172,ORD00686,RID004,2023-01-24 14:40:00,2023-01-24 15:13:00,2.04,0.65
DEL00173,ORD00687,RID014,2023-01-24 15:30:00,2023-01-24 15:49:00,3.91,8.23
DEL00174,ORD00689,RID002,2023-01-24 16:30:00,2023-01-24 16:52:00,5.02,7.54
DEL00175,ORD00697,RID013,2023-01-25 02:15:00,2023-01-25 02:50:00,13.36,3.46
DEL00176,ORD00699,RID007,2023-01-25 02:44:00,2023-01-25 03:23:00,10.31,13.26
DEL00177,ORD00701,RID023,2023-01-25 05:01:00,2023-01-25 05:18:00,5.45,12.64
DEL00178,ORD00702,RID022,2023-01-25 05:21:00,2023-01-25 05:36:00,11.22,2.27
DEL00179,ORD00705,RID012,2023-01-25 08:50:00,2023-01-25 09:11:00,18.78,10.4
DEL00180,ORD00714,RID006,2023-01-25 15:26:00,2023-01-25 15:42:00,19.62,10.87
DEL00181,ORD00715,RID001,2023-01-25 15:51:00,2023-01-25 16:30:00,8.01,0.41
DEL00182,ORD00717,RID017,2023-01-25 17:15:00,2023-01-25 17:46:00,19.36,2.37
DEL00183,ORD00719,RID024,2023-01-25 18:22:00,2023-01-25 18:53:00,19.26,7.07
DEL00184,ORD00721,RID014,2023-01-25 20:58:00,2023-01-25 21:26:00,4.8,4.67
DEL00185,ORD00723,RID012,2023-01-26 00:23:00,2023-01-26 01:06:00,8.29,2.79
DEL00186,ORD00728,RID024,2023-01-26 06:01:00,2023-01-26 06:17:00,18.53,14.1
DEL00187,ORD00729,RID003,2023-01-26 06:35:00,2023-01-26 07:18:00,3.64,9.77
DEL00188,ORD00735,RID007,2023-01-26 10:29:00,2023-01-26 11:09:00,13.26,0.16
DEL00189,ORD00739,RID009,2023-01-26 11:39:00,2023-01-26 11:57:00,3.81,6.72
DEL00190,ORD00740,RID017,2023-01-26 11:53:00,2023-01-26 12:08:00,17.53,3.65
DEL00191,ORD00744,RID001,2023-01-26 15:01:00,2023-01-26 15:27:00,10.14,2.98
DEL00192,ORD00749,RID019,2023-01-26 20:20:00,2023-01-26 20:56:00,15.74,10.12
DEL00193,ORD00750,RID023,2023-01-26 20:19:00,2023-01-26 20:56:00,5.83,12.3
DEL00194,ORD00752,RID019,2023-01-26 23:08:00,2023-01-26 23:30:00,11.22,2.95
DEL00195,ORD00764,RID017,2023-01-27 08:06:00,2023-01-27 08:24:00,18.75,11.1
DEL00196,ORD00766,RID021,2023-01-27 08:35:00,2023-01-27 09:20:00,3.76,12.66
DEL00197,ORD00769,RID016,2023-01-27 13:21:00,2023-01-27 14:06:00,15.46,8.8
DEL00198,ORD00774,RID020,2023-01-27 15:25:00,2023-01-27 16:09:00,14.5,10.63
DEL00199,ORD00784,RID024,2023-01-27 22:33:00,2023-01-27 22:48:00,13.72,5.84
DEL00200,ORD00783,RID007,2023-01-27 22:32:00,2023-01-27 22:56:00,4.36,9.26
DEL00201,ORD00787,RID014,2023-01-28 01:57:00,2023-01-28 02:20:00,5.01,11.62
DEL00202,ORD00797,RID010,2023-01-28 10:28:00,2023-01-28 10:47:00,16.13,8.09
DEL00203,ORD00796,RID004,2023-01-28 10:24:00,2023-01-28 11:08:00,1.13,8.78
DEL00204,ORD00804,RID014,2023-01-28 14:37:00,2023-01-28 15:10:00,4.18,10.09
DEL00205,ORD00805,RID005,2023-01-28 15:31:00,2023-01-28 16:04:00,13.59,13.18
DEL00206,ORD00809,RID008,2023-01-28 18:36:00,2023-01-28 19:01:00,14.48,10.49
DEL00207,ORD00813,RID010,2023-01-28 23:00:00,2023-01-28 23:16:00,4.92,13.77
DEL00208,ORD00811,RID001,2023-01-28 22:35:00,2023-01-28 23:19:00,3.52,9.21
DEL00209,ORD00814,RID014,2023-01-28 23:13:00,2023-01-28 23:54:00,10.41,13.49
DEL00210,ORD00817,RID025,2023-01-29 00:03:00,2023-01-29 00:40:00,2.6,1
DEL00211,ORD00824,RID005,2023-01-29 04:42:00,2023-01-29 05:13:00,8.59,12.19
DEL00212,ORD00836,RID007,2023-01-29 17:28:00,2023-01-29 17:48:00,19.51,14.78
DEL00213,ORD00841,RID005,2023-01-30 03:13:00,2023-01-30 03:36:00,7.2,8.73
DEL00214,ORD00846,RID018,2023-01-30 06:24:00,2023-01-30 06:39:00,10.84,2.09
DEL00215,ORD00850,RID021,2023-01-30 10:38:00,2023-01-30 10:59:00,19.16,4.74
DEL00216,ORD00856,RID024,2023-01-30 17:32:00,2023-01-30 18:07:00,19.34,5.63
DEL00217,ORD00863,RID009,2023-01-30 23:05:00,2023-01-30 23:43:00,11.27,5.24
DEL00218,ORD00870,RID021,2023-01-31 02:52:00,2023-01-31 03:10:00,5.61,5.55
DEL00219,ORD00873,RID016,2023-01-31 04:43:00,2023-01-31 05:21:00,16.8,4.78
DEL00220,ORD00874,RID008,2023-01-31 05:08:00,2023-01-31 05:41:00,11.01,14.25
DEL00221,ORD00875,RID018,2023-01-31 05:53:00,2023-01-31 06:22:00,5.76,1.8
DEL00222,ORD00878,RID008,2023-01-31 10:56:00,2023-01-31 11:34:00,4.26,8.99
DEL00223,ORD00885,RID023,2023-01-31 19:03:00,2023-01-31 19:19:00,7.36,7.53
DEL00224,ORD00884,RID008,2023-01-31 18:53:00,2023-01-31 19:35:00,14.05,5.14
DEL00225,ORD00886,RID015,2023-01-31 20:14:00,2023-01-31 20:40:00,6.24,14.87
DEL00226,ORD00895,RID018,2023-02-01 02:16:00,2023-02-01 02:46:00,3.53,8.46
DEL00227,ORD00904,RID015,2023-02-01 05:44:00,2023-02-01 06:14:00,11.41,4.5
DEL00228,ORD00914,RID012,2023-02-01 13:05:00,2023-02-01 13:37:00,13.45,12.48
DEL00229,ORD00921,RID016,2023-02-01 19:27:00,2023-02-01 20:02:00,5.44,2.5
DEL00230,ORD00924,RID009,2023-02-02 00:45:00,2023-02-02 01:19:00,9.07,5.73
DEL00231,ORD00927,RID008,2023-02-02 02:18:00,2023-02-02 03:03:00,3.92,7.01
DEL00232,ORD00929,RID004,2023-02-02 03:19:00,2023-02-02 03:56:00,4.52,7.2
DEL00233,ORD00933,RID019,2023-02-02 05:24:00,2023-02-02 05:53:00,5.33,7.59
DEL00234,ORD00934,RID002,2023-02-02 07:25:00,2023-02-02 07:50:00,16.16,0.86
DEL00235,ORD00935,RID009,2023-02-02 07:47:00,2023-02-02 08:23:00,1.59,2.84
DEL00236,ORD00939,RID020,2023-02-02 10:03:00,2023-02-02 10:38:00,13.49,5.29
DEL00237,ORD00941,RID011,2023-02-02 10:36:00,2023-02-02 11:19:00,1.03,10.21
DEL00238,ORD00943,RID009,2023-02-02 15:01:00,2023-02-02 15:38:00,18.78,2.4
DEL00239,ORD00950,RID004,2023-02-03 00:46:00,2023-02-03 01:27:00,5.07,1.69
DEL00240,ORD00953,RID020,2023-02-03 04:21:00,2023-02-03 04:57:00,9.19,5.68
DEL00241,ORD00963,RID022,2023-02-03 12:20:00,2023-02-03 13:01:00,1.15,2.45
DEL00242,ORD00966,RID011,2023-02-03 13:54:00,2023-02-03 14:22:00,19.75,12.23
DEL00243,ORD00968,RID020,2023-02-03 14:14:00,2023-02-03 14:54:00,16.49,6.67
DEL00244,ORD00983,RID013,2023-02-04 00:35:00,2023-02-04 00:56:00,2.91,9.53
DEL00245,ORD00994,RID013,2023-02-04 08:23:00,2023-02-04 09:04:00,9.43,1.64
DEL00246,ORD00996,RID016,2023-02-04 09:41:00,2023-02-04 10:14:00,11.67,12.94
DEL00247,ORD00997,RID023,2023-02-04 10:59:00,2023-02-04 11:41:00,15.26,13.31
DEL00248,ORD01001,RID015,2023-02-04 12:41:00,2023-02-04 13:13:00,10.39,14.55
DEL00249,ORD01012,RID015,2023-02-04 21:13:00,2023-02-04 21:41:00,14.54,2.12
DEL00250,ORD01016,RID002,2023-02-05 03:04:00,2023-02-05 03:37:00,13.14,10
DEL00251,ORD01017,RID006,2023-02-05 04:26:00,2023-02-05 04:41:00,11.07,11.64
DEL00252,ORD01018,RID016,2023-02-05 06:53:00,2023-02-05 07:30:00,15.38,9.41
DEL00253,ORD01020,RID018,2023-02-05 07:07:00,2023-02-05 07:47:00,17.33,2.9
DEL00254,ORD01023,RID013,2023-02-05 08:55:00,2023-02-05 09:26:00,2.08,5.3
DEL00255,ORD01028,RID007,2023-02-05 12:22:00,2023-02-05 12:51:00,14.07,11.81
DEL00256,ORD01030,RID012,2023-02-05 14:08:00,2023-02-05 14:28:00,8.24,12.97
DEL00257,ORD01033,RID013,2023-02-05 16:32:00,2023-02-05 17:11:00,10,10.75
DEL00258,ORD01034,RID004,2023-02-05 16:52:00,2023-02-05 17:33:00,2.39,1.44
DEL00259,ORD01036,RID019,2023-02-05 17:48:00,2023-02-05 18:20:00,9.44,7.25
DEL00260,ORD01037,RID012,2023-02-05 20:07:00,2023-02-05 20:31:00,13.65,14.95
DEL00261,ORD01039,RID002,2023-02-05 21:12:00,2023-02-05 21:46:00,18.52,0.7
DEL00262,ORD01042,RID020,2023-02-06 01:11:00,2023-02-06 01:37:00,2.56,12.19
DEL00263,ORD01057,RID021,2023-02-06 16:09:00,2023-02-06 16:24:00,19.17,14.43
DEL00264,ORD01061,RID017,2023-02-06 19:21:00,2023-02-06 19:51:00,2.74,8.17
DEL00265,ORD01065,RID023,2023-02-06 22:33:00,2023-02-06 22:49:00,16.85,5.53
DEL00266,ORD01064,RID003,2023-02-06 22:26:00,2023-02-06 23:00:00,19.71,11.75
DEL00267,ORD01069,RID001,2023-02-07 03:13:00,2023-02-07 03:41:00,2.25,11.5
DEL00268,ORD01080,RID017,2023-02-07 12:44:00,2023-02-07 13:12:00,3.58,11.9
DEL00269,ORD01082,RID009,2023-02-07 13:26:00,2023-02-07 14:00:00,14.03,9.63
DEL00270,ORD01084,RID004,2023-02-07 14:43:00,2023-02-07 15:25:00,13.16,1.76
DEL00271,ORD01087,RID009,2023-02-07 15:44:00,2023-02-07 16:29:00,4.52,9.71
DEL00272,ORD01089,RID004,2023-02-07 17:03:00,2023-02-07 17:33:00,15.26,4.36
DEL00273,ORD01095,RID023,2023-02-08 01:41:00,2023-02-08 02:16:00,8.73,11.78
DEL00274,ORD01098,RID010,2023-02-08 04:09:00,2023-02-08 04:53:00,6.68,8.75
DEL00275,ORD01103,RID013,2023-02-08 06:11:00,2023-02-08 06:54:00,18.46,1.58
DEL00276,ORD01109,RID019,2023-02-08 08:55:00,2023-02-08 09:12:00,9.02,5.24
DEL00277,ORD01119,RID012,2023-02-08 19:21:00,2023-02-08 19:45:00,7.54,11.34
DEL00278,ORD01117,RID006,2023-02-08 19:12:00,2023-02-08 19:54:00,17.13,10.08
